sys_updated_by,department,start_date,target_percentage,category,priority,state,metric,end_date,owner,percent_complete,sys_id,description,contains_keywords,goal_met
admin,Finance,2022-08-26,70,Employee Satisfaction,Low,Completed,Employee Turnover Rate,2022-11-28,user064,99.0,G000036,Develop and implement an enhanced employee recognition program aimed at improving overall job satisfaction and reducing annual turnover by 20%.,0,True
admin,IT,2022-12-23,56,Efficiency,Medium,Completed,Employee Turnover Rate,2023-02-15,user045,91.42944285668419,G000037,"Optimize IT support workflows to reduce ticket resolution time by 30%, thereby enhancing overall operational efficiency.",1,True
admin,Finance,2022-01-01,52,Cost Reduction,Critical,In Progress,Sales Increase,2022-06-14,user074,33.51522295627305,G000038,Reduce software licensing costs by 20% through vendor renegotiations and adopting more open-source solutions.,1,False
admin,Finance,2022-12-25,76,Revenue Growth,High,Cancelled,Employee Turnover Rate,2023-03-31,user007,44.0,G000039,Increase annual software sales revenue by 20% through targeted marketing campaigns and expanding into new geographic markets.,0,False
admin,Finance,2022-11-16,83,Cost Reduction,Low,Cancelled,Sales Increase,2023-11-06,user036,78.0160673167014,G000040,Reduce overall software licensing expenses by 20% by negotiating multi-year contracts and eliminating underutilized subscriptions.,1,False
admin,Marketing,2022-07-28,52,Employee Satisfaction,High,In Progress,Survey Score,2022-12-12,user091,46.806824562874155,G000041,Develop and launch a quarterly employee satisfaction survey to enhance engagement and reduce turnover by improving workplace policies based on feedback.,1,False
admin,Finance,2022-08-05,59,Cost Reduction,Low,In Progress,Survey Score,2023-05-25,user017,21.0,G000042,Achieve a 20% reduction in IT operational expenses by optimizing server utilization and negotiating better terms with software vendors.,0,False
admin,Finance,2022-10-24,60,Employee Satisfaction,Medium,In Progress,Employee Turnover Rate,2022-12-16,user034,40.0,G000043,Develop and implement a comprehensive wellness program to increase employee satisfaction scores by 20% over the next fiscal year.,0,False
admin,Marketing,2022-01-15,85,Customer Satisfaction,Low,Completed,Sales Increase,2022-05-30,user012,100.0,G000044,Increase overall customer satisfaction ratings by enhancing support services and implementing a feedback-based improvement strategy to achieve a 20% improvement in customer survey results.,1,True
admin,HR,2022-06-21,96,Cost Reduction,High,Completed,Sales Increase,2023-03-14,user015,100.0,G000045,Reduce IT operational expenses by 20% through consolidation of software licenses and renegotiating vendor contracts.,1,True
admin,HR,2022-08-04,92,Cost Reduction,High,In Progress,Expense Ratio,2023-05-24,user069,79.47309208867733,G000046,"Reduce operational expenses by optimizing energy use across all facilities, aiming for a 20% reduction in utility costs over the next fiscal year.",1,False
admin,Marketing,2022-12-15,73,Revenue Growth,Medium,Cancelled,Survey Score,2023-03-10,user080,49.0,G000047,"Increase annual subscription renewals by 20% through targeted customer engagement strategies and upselling new features, aiming to boost overall revenue from $500K to $600K.",0,False
admin,Finance,2022-02-10,64,Customer Satisfaction,Critical,Completed,Employee Turnover Rate,2022-05-09,user096,94.23241670939206,G000048,Develop a new customer feedback system to enhance satisfaction ratings by 20% in the next fiscal year through improved service response times and personalized support.,1,True
admin,Finance,2022-06-28,80,Cost Reduction,Medium,In Progress,Expense Ratio,2023-03-25,user059,30.626709925375874,G000049,"Reduce operational expenses by optimizing resources and automating manual processes, aiming to achieve a 20% cost reduction over the next fiscal year.",1,False
admin,Finance,2022-10-14,77,Efficiency,High,In Progress,Sales Increase,2022-12-28,user083,23.640660410603182,G000050,"Enhance software deployment across the organization to reduce average setup time by 25% next quarter, allowing for faster project initiations.",1,False
admin,IT,2022-01-14,95,Customer Satisfaction,Critical,In Progress,Sales Increase,2022-04-28,user032,68.97050444885487,G000051,Develop a new customer feedback system to improve satisfaction scores by over 20% for our support services.,1,False
admin,Finance,2022-07-04,91,Cost Reduction,Low,Completed,Sales Increase,2023-04-04,user089,100.0,G000052,Implement automated software solutions to decrease operational expenses by 10% over the next fiscal quarter.,0,True
admin,Finance,2022-08-11,64,Customer Satisfaction,Medium,In Progress,Sales Increase,2022-10-29,user064,54.0,G000053,Develop and deploy a new customer feedback system to increase satisfaction scores by 20% over the next fiscal year.,0,False
admin,Finance,2022-08-03,77,Cost Reduction,Critical,In Progress,Employee Turnover Rate,2023-05-22,user099,30.354014676464857,G000054,"Reduce operational expenses by optimizing energy usage across all branches, targeting a 20% cost saving by the end of Q4.",1,False
admin,Marketing,2022-07-17,78,Efficiency,Low,Completed,Expense Ratio,2022-11-07,user051,100.0,G000055,"Increase operational efficiency by automating routine data entry tasks, aiming to reduce manual processing time by 30%.",1,True
admin,IT,2022-09-03,56,Customer Satisfaction,Critical,In Progress,Expense Ratio,2022-12-16,user035,74.06677207005553,G000056,Develop a new feedback system to improve customer satisfaction ratings by 20% over the next 12 months by capturing real-time service experiences.,1,True
admin,HR,2022-10-07,83,Customer Satisfaction,Medium,Completed,Employee Turnover Rate,2023-01-20,user065,100.0,G000057,Develop a new customer feedback system to achieve a 20% improvement in customer satisfaction scores by the end of Q4.,1,True
admin,Marketing,2022-06-12,76,Cost Reduction,Low,In Progress,Employee Turnover Rate,2023-02-28,user038,26.871611245606914,G000058,"Reduce IT operational expenditures by optimizing cloud usage and renegotiating vendor contracts, aiming for a 20% cost saving within the next fiscal year.",1,False
admin,HR,2022-10-04,56,Customer Satisfaction,High,Completed,Survey Score,2023-02-01,user068,100.0,G000059,Enhance the customer support portal to improve user experience and increase customer satisfaction ratings by 20% over the next six months.,1,True
admin,Marketing,2022-02-23,62,Employee Satisfaction,High,In Progress,Survey Score,2022-06-04,user075,50.0,G000060,Develop and implement a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing burnout rates by 20%.,0,False
admin,IT,2022-03-14,75,Cost Reduction,High,Completed,Sales Increase,2022-10-07,user002,90.62549852103311,G000061,"Reduce operational expenditures by optimizing energy consumption across all company facilities, aiming for a 20% reduction over the next fiscal year.",1,True
admin,Marketing,2022-11-22,61,Cost Reduction,Low,In Progress,Survey Score,2023-11-16,user079,20.0,G000062,Develop strategic supplier partnerships to decrease overall material costs by 20% within the next fiscal year.,0,False
admin,IT,2022-03-14,63,Revenue Growth,Low,Cancelled,Employee Turnover Rate,2022-05-31,user014,16.0,G000063,"Expand digital services portfolio to increase client base by 20% within the next fiscal year, aiming to boost revenue by approximately $500K.",0,False
admin,Finance,2022-01-26,72,Customer Satisfaction,Low,In Progress,Expense Ratio,2022-05-12,user029,36.14674386658811,G000064,Develop a new customer feedback system to improve response rates by 30% and enhance satisfaction scores from 3.5 to 4.5 stars on average.,1,False
admin,HR,2022-11-13,81,Cost Reduction,High,Cancelled,Survey Score,2023-11-01,user009,47.288746831136535,G000065,"Reduce operational expenses by optimizing energy usage across all corporate offices, aiming for a 20% decrease in utility bills over the next fiscal year.",1,False
admin,Finance,2022-05-19,78,Cost Reduction,High,In Progress,Sales Increase,2023-01-20,user081,50.703059490099164,G000066,Reduce operational expenses by consolidating vendor contracts and renegotiating terms to achieve a 20% cost savings within the next fiscal year.,1,False
admin,IT,2022-07-27,91,Employee Satisfaction,Medium,In Progress,Employee Turnover Rate,2022-09-17,user015,80.51758918641502,G000067,Launch a quarterly employee feedback survey to identify key areas for improvement in workplace conditions and aim to increase overall employee satisfaction ratings by 20%.,1,False
admin,Marketing,2022-10-08,59,Cost Reduction,Low,Cancelled,Survey Score,2023-09-05,user089,38.22878733095337,G000068,"Reduce software license expenses by consolidating vendors and negotiating better rates, aiming for a 20% cost reduction over the next fiscal year.",1,False
admin,HR,2022-10-25,55,Efficiency,Low,In Progress,Sales Increase,2023-02-23,user017,29.12927812802769,G000069,"Enhance customer service response times by adopting an integrated ticketing system, aiming to reduce resolution times by 20%.",1,False
admin,HR,2022-09-24,62,Employee Satisfaction,Low,In Progress,Sales Increase,2022-12-03,user060,44.0,G000070,Develop and launch an employee feedback tool by Q2 to increase employee satisfaction scores by 20%.,0,False
admin,Finance,2022-01-04,96,Employee Satisfaction,Low,Cancelled,Expense Ratio,2022-03-24,user098,35.0,G000071,"Develop and implement a new feedback system aimed at increasing employee involvement in decision making, aimed at enhancing overall job satisfaction by 20% over the next fiscal year.",0,False
admin,HR,2022-02-21,64,Customer Satisfaction,Critical,In Progress,Survey Score,2022-06-13,user098,78.2231457629148,G000072,Develop a new customer feedback system to improve response rates and satisfaction scores by 20% over the next 12 months.,1,True
admin,Finance,2022-04-26,70,Cost Reduction,Medium,Planned,Survey Score,2022-12-15,user090,62.0,G000073,"Optimize utilization of IT assets to decrease operational expenses by 20%, aiming to save around $300K by end of Q4.",0,False
admin,Finance,2022-12-30,100,Customer Satisfaction,Low,Planned,Employee Turnover Rate,2023-03-22,user004,100.0,G000074,"Enhance the customer support portal to improve resolution times by 20%, aiming for higher satisfaction scores on post-service surveys.",1,True
admin,Finance,2022-11-12,81,Cost Reduction,High,In Progress,Expense Ratio,2023-10-31,user044,85.56150795257392,G000075,"Reduce software licensing fees by consolidating vendor contracts and eliminating underused or redundant licenses, aiming to lower expenditures by 20% over the next fiscal year.",1,True
admin,Finance,2022-01-11,82,Cost Reduction,Low,In Progress,Survey Score,2022-06-30,user073,83.19166254960204,G000076,Reduce operational expenses by 10% through improved vendor negotiations and contract management.,1,True
admin,HR,2022-08-20,63,Efficiency,Low,In Progress,Employee Turnover Rate,2022-11-18,user011,21.0,G000077,"Optimize workflow automation to increase team productivity by 20%, reducing manual tasks for data entry and report generation.",0,False
admin,IT,2022-05-09,59,Employee Satisfaction,Medium,In Progress,Expense Ratio,2022-07-14,user061,5.0,G000078,Develop and implement a quarterly employee engagement program aimed at boosting overall job satisfaction by 20% as measured by annual staff surveys.,0,False
admin,Marketing,2022-07-19,81,Customer Satisfaction,Critical,Completed,Sales Increase,2022-10-29,user090,100.0,G000079,Enhance the customer service interface to improve response times and increase customer satisfaction ratings by 20% over the next fiscal year.,1,True
admin,IT,2022-07-25,76,Revenue Growth,High,In Progress,Survey Score,2022-11-10,user045,69.0,G000080,Develop new market segments to increase overall revenue by 20% over the next fiscal year.,0,False
admin,Finance,2022-09-22,54,Cost Reduction,Critical,In Progress,Employee Turnover Rate,2023-08-10,user072,45.0,G000081,Optimize internal software licenses to achieve a cost reduction of 20% by Q3 by eliminating unused or underused subscriptions.,0,False
admin,Finance,2022-02-24,77,Customer Satisfaction,Critical,Completed,Sales Increase,2022-05-23,user092,100.0,G000082,Develop a new customer feedback system to achieve a 20% improvement in satisfaction scores by the end of Q4.,1,True
admin,HR,2022-09-17,52,Customer Satisfaction,Critical,In Progress,Expense Ratio,2023-02-04,user035,33.54920887279255,G000083,Develop and implement a new customer feedback system to enhance satisfaction scores by 20% over the next fiscal year through improved response rates and resolution efficiency.,1,False
admin,Finance,2022-07-29,52,Cost Reduction,Medium,In Progress,Survey Score,2023-05-14,user084,39.992768883943256,G000084,"Reduce operational costs by optimizing energy usage across all company facilities, aiming for a 20% reduction in electricity and heating expenses within the next fiscal year.",1,False
admin,Finance,2022-07-01,82,Cost Reduction,Low,Cancelled,Sales Increase,2023-03-30,user064,51.459589466387186,G000085,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% cost saving within the next fiscal year.",1,False
admin,Finance,2022-01-10,56,Cost Reduction,Low,Planned,Employee Turnover Rate,2022-06-28,user001,28.60745072383397,G000086,"Reduce overall software licensing fees by negotiating multi-year contracts, aiming for a 20% cost saving over the next 2 years.",1,False
admin,Finance,2022-11-18,51,Efficiency,Low,In Progress,Survey Score,2023-01-21,user079,49.53968588747696,G000087,Enhance the automation of repetitive tasks to improve overall team efficiency by reducing processing time by 30%.,1,False
admin,HR,2022-07-27,62,Employee Satisfaction,Low,Completed,Expense Ratio,2022-10-11,user035,72.0,G000088,Develop and implement staff recognition programs aimed at boosting employee satisfaction scores by over 20% for the upcoming fiscal year.,0,True
admin,IT,2022-06-13,79,Customer Satisfaction,Medium,In Progress,Expense Ratio,2022-09-01,user044,67.9224767069397,G000089,Improve response time in customer support queries to enhance satisfaction rates by 20% over the next quarter.,1,False
admin,Finance,2022-06-21,100,Efficiency,Critical,In Progress,Expense Ratio,2022-09-05,user086,77.52898120809753,G000090,"Optimize IT support workflow to reduce ticket resolution time by 20%, aiming to enhance overall user satisfaction and operational efficiency.",1,False
admin,HR,2022-11-20,71,Cost Reduction,Low,Completed,Sales Increase,2023-11-12,user003,100.0,G000091,Reduce overall IT expenditures by consolidating vendor contracts and achieving a 20% cost saving in the next fiscal year.,1,True
admin,Finance,2022-11-25,92,Efficiency,High,In Progress,Expense Ratio,2023-02-15,user074,83.0,G000092,Optimize IT helpdesk response times by 30% through the implementation of automated ticketing systems and staff training.,0,False
admin,IT,2022-10-03,98,Efficiency,Low,In Progress,Survey Score,2023-01-11,user007,10.0,G000093,"Optimize internal workflow to decrease project delivery times by 20%, thereby enhancing overall operational efficiency.",0,False
admin,Finance,2022-03-21,93,Customer Satisfaction,High,In Progress,Employee Turnover Rate,2022-06-10,user054,72.0,G000094,Develop a new customer feedback system to increase satisfaction scores by 20% within the next fiscal year through enhanced response mechanisms and tailored services.,0,False
admin,Finance,2022-07-28,63,Employee Satisfaction,Medium,Completed,Employee Turnover Rate,2022-09-19,user027,76.0,G000095,Launch a quarterly employee feedback survey to increase overall employee satisfaction scores by 20% over the next fiscal year.,0,True
admin,Finance,2022-01-04,81,Revenue Growth,Critical,Completed,Sales Increase,2022-05-03,user096,88.0,G000096,Develop a new customer partnership strategy aimed at increasing revenue streams from digital channels by 20% over the next fiscal year.,0,True
admin,Finance,2022-07-14,91,Revenue Growth,Low,Completed,Sales Increase,2022-11-06,user002,92.0,G000097,"Develop and launch a new product line by Q4 to increase overall revenue by 20%, targeting emerging markets in Asia and South America.",0,True
admin,Finance,2022-11-14,87,Revenue Growth,High,Planned,Employee Turnover Rate,2023-01-28,user065,39.0,G000098,Develop and launch a new software product line that is projected to increase company revenue by 20% within the first year.,0,False
admin,IT,2022-10-10,79,Revenue Growth,Critical,In Progress,Employee Turnover Rate,2023-01-16,user057,75.0,G000099,Develop and launch a new software product by Q4 to increase annual recurring revenue by 20%.,0,False
admin,Finance,2022-08-29,96,Cost Reduction,Low,Cancelled,Survey Score,2023-07-03,user071,57.0,G000100,Enhance supplier negotiation strategies to achieve a 20% reduction in overall supply costs by the end of Q4.,0,False
admin,Finance,2022-02-09,50,Customer Satisfaction,Critical,Cancelled,Sales Increase,2022-05-31,user093,60.63057536524182,G000101,Enhance the customer support portal interface to improve user experience and increase customer satisfaction ratings by at least 20% within the next fiscal year.,1,True
admin,Finance,2022-07-20,77,Revenue Growth,Medium,In Progress,Expense Ratio,2022-10-30,user063,28.0,G000102,Develop and launch a new product line aimed at increasing annual revenue by 20% by expanding into Latin American markets.,0,False
admin,HR,2022-05-22,75,Employee Satisfaction,Critical,Planned,Survey Score,2022-09-16,user093,18.032611955821267,G000103,"Launch a quarterly feedback survey to enhance employee engagement and satisfaction, aiming to improve overall scores by 20% over the next year.",1,False
admin,Marketing,2022-05-04,98,Employee Satisfaction,High,In Progress,Expense Ratio,2022-06-13,user070,74.62783732213002,G000104,Launch a quarterly feedback survey to enhance employee satisfaction and implement at least two major improvements based on the results by the end of the year.,1,False
admin,Finance,2022-01-02,75,Cost Reduction,Medium,Completed,Employee Turnover Rate,2022-06-15,user041,100.0,G000105,"Reduce overall software licensing expenses by negotiating volume discounts and alternative solutions, aiming for a 20% cost reduction within the next financial year.",1,True
admin,HR,2022-11-17,93,Employee Satisfaction,High,In Progress,Expense Ratio,2023-03-10,user044,79.18596035710846,G000106,Develop a quarterly team-building program to improve employee engagement scores by 20% over the next fiscal year.,1,False
admin,IT,2022-12-20,73,Employee Satisfaction,High,Completed,Sales Increase,2023-04-02,user093,96.0,G000107,"Develop and launch a series of employee well-being programs to boost job satisfaction and morale, aiming for a 20% increase in employee satisfaction survey scores by Q4.",0,True
admin,HR,2022-01-30,69,Revenue Growth,Low,Cancelled,Sales Increase,2022-04-15,user017,57.0,G000108,Increase the annual sales revenue by 20% through enhanced digital marketing strategies and expanding our distribution channels.,0,False
admin,HR,2022-07-06,66,Revenue Growth,Medium,In Progress,Employee Turnover Rate,2022-09-12,user016,64.0,G000109,"Expand sales team territory coverage to increase annual sales revenue by 20%, targeting new regional markets.",0,False
admin,Finance,2022-06-29,83,Cost Reduction,Critical,In Progress,Survey Score,2023-03-27,user096,96.60382347959403,G000110,"Reduce operational expenditures by optimizing energy usage across all facilities, aiming for a 20% cost reduction within the next fiscal year.",1,True
admin,HR,2022-11-08,100,Efficiency,Low,In Progress,Expense Ratio,2023-01-31,user039,4.0,G000111,"Enhance software deployment workflows to increase operational efficiency by 20%, reducing average deployment time from 5 hours to 4 hours.",0,False
admin,IT,2022-09-29,82,Cost Reduction,Medium,In Progress,Survey Score,2023-08-21,user034,23.49709807495439,G000112,Reduce overall software licensing costs by 20% through renegotiating vendor contracts and eliminating underused software licenses.,1,False
admin,HR,2022-02-25,54,Customer Satisfaction,High,Completed,Employee Turnover Rate,2022-07-08,user005,77.0,G000113,Increase the customer satisfaction score by 20% by improving response times and offering more personalized support solutions.,0,True
admin,Finance,2022-07-23,64,Employee Satisfaction,Low,In Progress,Employee Turnover Rate,2022-09-09,user042,52.0,G000114,Develop and implement a quarterly employee engagement program aimed at improving overall job satisfaction scores by 20%.,0,False
admin,Marketing,2022-12-16,82,Efficiency,Medium,Cancelled,Employee Turnover Rate,2023-01-28,user077,42.0,G000115,"Increase database query efficiency by optimizing existing data indexing, aiming for a 30% reduction in response times for user queries on the customer service platform.",0,False
admin,Finance,2022-10-12,89,Cost Reduction,Medium,In Progress,Expense Ratio,2023-09-11,user025,74.47508493853503,G000116,"Reduce operational expenses by optimizing software licensing agreements, targeting an annual savings of 20% over last fiscal year.",1,False
admin,HR,2022-04-09,63,Employee Satisfaction,High,Completed,Expense Ratio,2022-07-11,user063,83.0,G000117,Develop and implement a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing yearly employee turnover by 20%.,0,True
admin,Finance,2022-11-02,62,Revenue Growth,Medium,In Progress,Employee Turnover Rate,2023-01-31,user034,26.0,G000118,Develop a new Strategic Client Program to increase overall revenue by 20% in the next fiscal year.,0,False
admin,Finance,2022-03-03,98,Revenue Growth,High,In Progress,Employee Turnover Rate,2022-04-09,user074,96.0,G000119,Develop new partnerships with leading global retailers to increase annual revenue by 20%.,0,False
admin,Finance,2022-05-07,77,Cost Reduction,Critical,In Progress,Survey Score,2023-01-01,user023,47.0,G000120,Optimize supplier contracts and renegotiate terms to achieve a 20% reduction in operational expenses over the next fiscal year.,0,False
admin,Finance,2022-02-25,78,Revenue Growth,Medium,Completed,Sales Increase,2022-06-27,user013,84.0,G000121,Expand sales team to increase revenue from new market sectors targeted for a 20% growth in the next fiscal year.,0,True
admin,HR,2022-10-21,61,Cost Reduction,Critical,In Progress,Employee Turnover Rate,2023-09-25,user089,42.25626458640358,G000122,"Reduce the overall IT operational expenses by 20%, aiming to cut down from $500,000 to $400,000 through automation of routine tasks and renegotiation of vendor contracts.",1,False
admin,Marketing,2022-02-16,58,Customer Satisfaction,High,Completed,Sales Increase,2022-05-05,user083,78.49692710127752,G000123,Develop and launch a new customer feedback system by Q2 to improve customer satisfaction scores by at least 20% over the previous year.,1,True
admin,IT,2022-09-09,89,Cost Reduction,Medium,Completed,Sales Increase,2023-07-20,user024,100.0,G000124,"Reduce operational expenses by optimizing energy usage across all corporate facilities, aiming to cut energy costs by 20% within the next fiscal year.",1,True
admin,Finance,2022-12-14,89,Efficiency,Medium,Completed,Expense Ratio,2023-02-05,user046,101.0,G000125,"Enhance the IT support ticket system to decrease average resolution time by 30%, improving overall operational efficiency.",0,True
admin,Finance,2022-10-18,59,Cost Reduction,Low,Completed,Survey Score,2023-09-21,user018,94.55486865450331,G000126,Reduce overall IT spending by consolidating software licenses and renegotiating vendor contracts to achieve a 20% cost saving in the next fiscal year.,1,True
