type,state,source_id,number,opened_at,category,short_description,ci
,Processed,FXA-46602274,EXP00000019,2023-06-30 20:52:00,Services,Automatically generated service line for asset creation,Cloud Service Platform
,Processed,,EXP00000020,2023-10-22 15:21:00,Travel,Travel related configuration asset,Airline Lounge Access
,Pending,,EXP00000021,2024-01-11 19:18:00,Miscellaneous,Registration of new Miscellaneous hardware asset,Beats Headphones
,Processed,UDG-21477615,EXP00000022,2023-12-11 09:05:00,Services,Generated service asset in the system,Enterprise Service Management
,Processed,FDL-95969767,EXP00000023,2023-06-24 08:37:00,Assets,Newly acquired IT asset,Dell Latitude 3410
,Processed,GVB-99075460,EXP00000024,2023-05-01 23:16:00,Assets,New hardware asset added in inventory,Dell Latitude 7400
,Pending,,EXP00000025,2023-08-07 07:43:00,Miscellaneous,Miscellaneous asset creation for trade department,Lenovo ThinkPad X1
,Processed,CBT-71348487,EXP00000026,2023-12-08 09:59:00,Services,Automatically generated record for creation of Service asset,Dell PowerEdge R740xd Server
,Processed,,EXP00000027,2024-03-22 06:57:00,Miscellaneous,Generated asset for miscellaneous hardware,Miscellaneous Dell Laptop 13
,Declined,PAM-95384892,EXP00000028,2024-03-27 08:31:00,Services,Newly provisioned service for client,SAP_HANA_Database_Service
,Processed,DPJ-65748161,EXP00000029,2023-04-16 03:39:00,Services,Automatically generated service asset line for creation of asset,Web Hosting Service
,Processed,,EXP00000030,2024-01-06 06:38:00,Miscellaneous,Miscellaneous asset creation for recording,Miscellaneous Item 1
,Processed,SNF-20305345,EXP00000031,2023-11-17 23:10:00,Services,Service asset provisioned for user,Windows Server 2016 Standard Edition
,Processed,QIM-03681250,EXP00000032,2023-10-13 05:57:00,Services,Automatically generated service line for creation of asset,Cloud Service Provider
,Processed,EBO-52734461,EXP00000033,2023-07-04 10:41:00,Services,Automatically generated service line for creation of asset,Remote Support Services
,Processed,DXA-14331395,EXP00000034,2024-03-22 05:43:00,Services,Automatically generated service line for creation of asset,Server Service Pro 10
,Processed,SZE-54067869,EXP00000035,2023-02-16 21:51:00,Services,Automatically created service asset line,Web Hosting Service
,Processed,,EXP00000036,2023-10-04 02:43:00,Travel,Asset item: Business Travel Kit,Lenovo ThinkPad X1 Carbon
,Pending,,EXP00000037,2024-04-04 03:30:00,Miscellaneous,Miscellaneous hardware asset initialization,USB-C Multiport Adapter
,Processed,MDV-71502553,EXP00000038,2023-12-28 18:58:00,Services,Provisioning of new cloud service,Azure Cloud Service
,Processed,ICO-24730341,EXP00000039,2023-06-07 03:38:00,Assets,Newly added Dell Laptop in Assets,Dell Inspiron 3501
,Processed,UWA-94801548,EXP00000040,2023-06-09 16:06:00,Assets,Graphical Workstation added to assets,Dell Precision 5540
,Processed,ADX-50730455,EXP00000041,2023-06-09 16:44:00,Assets,Provision of new IT asset,Dell Latitude 7400
,Processed,HDQ-76314786,EXP00000042,2024-04-09 22:16:00,Assets,Asset Registration: Dell Latitude Laptop,Dell Latitude 5480 Laptop
,Processed,NNS-04530167,EXP00000043,2023-08-03 11:20:00,Services,Service related hardware asset,Cisco WebEx Services
,Processed,,EXP00000044,2023-09-23 16:42:00,Travel,Automatically generated expense line for purchase of travel asset,Luggage Trolley
,Declined,RZN-66735828,EXP00000045,2023-08-28 02:10:00,Services,Asset addition for IT services,Cisco Firewall CX3400
,Submitted,ELH-87028547,EXP00000046,2023-02-14 09:16:00,Assets,Automated allocation of new hardware asset,Dell Laptop Precision 7710
,Processed,,EXP00000047,2023-03-07 05:32:00,Miscellaneous,RAM module addition for hardware upgrades,Dell OptiPlex 7080
,Processed,YUF-01353499,EXP00000048,2024-03-20 04:46:00,Assets,Addition of new asset to IT inventory,Dell Optiplex 7080 Desktop
,Processed,,EXP00000049,2024-04-26 05:47:00,Travel,Business travel laptop equipment,Dell Latitude Travel Edition
,Processed,SNS-52220957,EXP00000050,2024-04-20 00:49:00,Services,Provision of IT support services,IT Support Services 001
,Processed,BXM-86463840,EXP00000051,2024-04-08 19:26:00,Services,Services related hardware asset,Virtual Server Service
,Processed,,EXP00000052,2023-10-15 05:42:00,Travel,Travel-related hardware asset requirements,Travel Pack Portable Charger
,Processed,VTW-46250632,EXP00000053,2023-11-16 00:32:00,Assets,Entry for newly procured HP Laptop,HP Pavilion 15
,Processed,,EXP00000054,2023-08-27 22:25:00,Miscellaneous,Miscellaneous item added to hardware assets,Miscellaneous Device Random123
,Processed,MYL-99625696,EXP00000055,2024-03-12 19:40:00,Services,Auto-generated entry for service asset creation,Cloud Service Instance 007
,Processed,MJY-97886793,EXP00000056,2023-08-04 11:41:00,Services,Automatically generated expense line for creation of Service asset,Cloud Service Provider
,Processed,,EXP00000057,2023-08-24 13:14:00,Travel,Travel related hardware asset,Dell Latitude 5420 laptop
,Pending,OYU-23303098,EXP00000058,2023-04-03 22:47:00,Assets,Automatically generated asset record for a new hardware,Dell Latitude 9610
,Processed,,EXP00000059,2023-03-08 04:48:00,Travel,Travel asset tagged - Toshiba Satellite Laptop,Toshiba Satellite C55-C5241
,Pending,CID-17195281,EXP00000060,2024-01-24 10:16:00,Assets,HP EliteBook 840 G5 Asset Registered,HP EliteBook 840 G5
,Submitted,,EXP00000061,2023-08-23 12:22:00,Travel,Configuration changes to Travel System re: asset update,Travel Management System
,Processed,,EXP00000062,2023-08-13 23:56:00,Miscellaneous,Generated Asset for Miscellaneous Hardware,Wireless Mouse Model 202
,Processed,UUK-70342280,EXP00000063,2024-02-11 12:37:00,Services,Service-based Infrastructure Asset,Cloud Service Provider
,Processed,,EXP00000064,2024-04-25 13:35:00,Miscellaneous,Automatically generated expense line for creation of asset,Miscellaneous Gadget
,Processed,,EXP00000065,2023-03-02 20:08:00,Travel,Travel related hardware asset,Lumix Digital Camera
,Processed,,EXP00000066,2023-06-21 12:06:00,Travel,Automatically generated expense line for creation of travel asset,First Class Airline Ticket
,Processed,LBX-86408652,EXP00000067,2023-11-02 10:16:00,Services,Provisioning of new Service Cloud license,Salesforce Service Cloud Enterprise License
,Processed,AGS-77975455,EXP00000068,2023-09-16 01:25:00,Assets,Maintenance request for asset management,Dell Latitude E7470
,Processed,GJU-87672885,EXP00000069,2024-01-12 00:00:00,Assets,Maintenance updates for company's asset inventory,Dell Latitude 5500
,Submitted,PSN-83068735,EXP00000070,2023-03-03 23:14:00,Assets,Addition of new asset into system,Dell Optiplex 3070
,Processed,VSW-18188774,EXP00000071,2023-09-13 16:44:00,Assets,Managed asset of IT department,Dell Latitude 5511
,Submitted,,EXP00000072,2023-11-06 03:41:00,Miscellaneous,Miscellaneous hardware asset creation,Dell Optiplex 7090
,Processed,,EXP00000073,2023-04-21 17:04:00,Miscellaneous,System generated asset of Miscellaneous category,Miscellaneous Asset 123
,Processed,EME-91359802,EXP00000074,2023-12-04 01:00:00,Services,Setup for Newly Procured Service for Testing,Azure Cloud Service
,Processed,,EXP00000075,2023-12-14 11:45:00,Miscellaneous,Automatically generated asset for Miscellaneous category,Office Desk Chair
,Processed,ZGZ-35258976,EXP00000076,2024-02-10 00:27:00,Services,Automatically generated service line for creation of asset,AWS EC2 Services
,Processed,,EXP00000077,2023-07-31 13:25:00,Miscellaneous,Hardware asset registration for miscellaneous item,Webcam Logitech C270
,Pending,HTD-75213644,EXP00000078,2024-03-14 00:49:00,Services,Automatically generated line for creation of service asset,Cloud Storage Service PRO
,Processed,,EXP00000079,2024-02-02 01:42:00,Travel,Travel-related hardware asset,Dell Latitude 7400 Travel Laptop
,Processed,,EXP00000080,2023-10-21 02:57:00,Travel,Replacement of travel equipment asset,Lenovo ThinkPad L470
,Processed,,EXP00000081,2023-05-09 21:37:00,Travel,Automatically generated travel asset,Business Luggage Set
,Processed,TSX-13502734,EXP00000082,2024-03-12 02:57:00,Services,Provisioning of cloud based service,AWS EC2 Instance
,Pending,,EXP00000083,2023-10-17 03:12:00,Travel,Automatically generated expense line for creation of travel related asset,Samsonite Travel Bag
,Processed,,EXP00000084,2023-02-02 11:30:00,Travel,Automatically generated expense line for creation of travel asset,Business Class Airline Ticket
,Processed,ZCG-91924799,EXP00000085,2023-07-01 13:46:00,Services,Provision of new Corporate Web Services,Cloud Service Provider
,Processed,,EXP00000086,2023-10-21 21:22:00,Travel,Travel related hardware resource generation,Global Positioning System (GPS) device
,Processed,,EXP00000087,2023-09-12 14:31:00,Travel,Automatically generated expense line for creation of Travel category asset,Travel Management Software
,Processed,LIP-72430059,EXP00000088,2023-06-24 08:19:00,Assets,Asset Creation for Hardware Component,Dell Inspiron 15
,Pending,LGV-74104537,EXP00000089,2023-04-03 11:34:00,Services,IT-Service creation for asset management,Managed IT-Services
,Processed,WYU-43056396,EXP00000090,2023-02-24 13:10:00,Services,Automatically generated service line for creation of asset,Cloud Hosting Service
,Processed,JBG-12031638,EXP00000091,2023-07-11 17:43:00,Assets,Asset management automatic creation entry,Dell Latitude 5520
,Processed,,EXP00000092,2024-02-16 18:54:00,Miscellaneous,Automatically generated asset line for miscellaneous configuration item,Cron Job Server
,Pending,LDA-17802049,EXP00000093,2023-03-29 03:48:00,Services,Automated creation of asset for IT services,Office 365 Subscription
,Processed,,EXP00000094,2023-11-23 08:51:00,Miscellaneous,Purchase of Miscellaneous Office Equipment,Ergonomic Keyboard
,Declined,,EXP00000095,2023-06-04 10:09:00,Travel,Expenses incurred for travel hardware items,Laptop Lenovo ThinkPad X1 for Business Travel
,Processed,,EXP00000096,2023-12-19 20:03:00,Miscellaneous,Miscellaneous hardware asset,Miscellaneous PC Brand X
,Processed,,EXP00000097,2024-02-12 02:44:00,Miscellaneous,Automatically generated note for Miscellaneous asset,Miscellaneous Item 001
,Processed,TLX-89526037,EXP00000098,2023-07-11 18:31:00,Services,Automatic generation of asset line for Services,Cloud Service Provider
,Submitted,TKO-79040489,EXP00000099,2024-03-27 23:50:00,Services,Automatically added asset for provided services,Virtual Private Network Service
,Processed,,EXP00000100,2024-02-28 15:33:00,Miscellaneous,Expense line for procurement of miscellaneous hardware asset,Dell Optiplex 3080
,Pending,,EXP00000101,2024-04-14 12:51:00,Miscellaneous,Miscellaneous hardware asset recording,Monitor Dell P2219H
,Processed,MLU-80219236,EXP00000102,2023-09-01 06:13:00,Assets,Creation of new workstation asset,Dell Optiplex 3070
,Processed,WKY-70224082,EXP00000103,2023-09-30 16:22:00,Services,Automatically generated service asset,Cloud Infrastructure Service
,Pending,BLW-74755563,EXP00000104,2024-01-27 00:19:00,Assets,Asset register - Dell Latitude E5470 laptop,Dell Latitude E5470
,Processed,ISK-56603063,EXP00000105,2023-05-05 12:55:00,Assets,Dell Latitude Laptop registered under hardware assets,Dell Latitude 3590 Laptop
,Pending,JID-85160151,EXP00000106,2023-08-15 20:56:00,Assets,IT asset registration for new hardware,Dell Latitude 7490
,Declined,,EXP00000107,2023-04-08 05:05:00,Travel,Travel equipment configuration,Portable Satellite Phone
,Processed,,EXP00000108,2023-05-31 20:58:00,Travel,Automatically generated expense line for creation of travel asset,Business Travel Kit
,Processed,,EXP00000109,2023-07-15 04:08:00,Miscellaneous,Automatically generated expense line for procurement of asset,Miscellaneous - Office Supplies
,Processed,CSN-11101342,EXP00000110,2024-02-15 07:57:00,Assets,Asset registration for new purchase,Dell Latitude 7490
,Declined,FQY-18018542,EXP00000111,2023-07-18 05:46:00,Services,TDS System auto-creation for Service Asset,Cloud Hosting Service
,Processed,,EXP00000112,2023-09-10 19:03:00,Travel,Travel-related hardware asset,GlobalSat BU-353-S4 USB GPS Receiver
,Submitted,BNA-27949799,EXP00000113,2023-07-13 10:25:00,Assets,Automated tracking of new hardware asset,Dell Latitude 7410
,Processed,XGQ-49523105,EXP00000114,2024-04-19 04:13:00,Assets,Dell Optiplex 8010 Desktop PC,Desktop PC
,Processed,NNY-69561126,EXP00000115,2024-04-11 23:53:00,Services,Generated Service asset,Network Service Provider
,Submitted,,EXP00000116,2023-07-13 07:54:00,Travel,Travel Related Hardware Asset,Portable GPS Navigator
,Processed,UVK-08599168,EXP00000117,2023-03-15 00:42:00,Services,Asset creation - Service subscriptions,Microsoft 365 Business Standard
,Processed,GKI-55549919,EXP00000118,2024-03-12 14:09:00,Services,Service related asset creation,Cloud Service Provider 24
,Submitted,GJX-53804447,EXP00000119,2024-04-17 03:40:00,Services,Service related asset designation,Cloud Infrastructure Services
,Declined,,EXP00000120,2023-08-21 12:28:00,Miscellaneous,Provision of miscellaneous hardware assets,Dell Latitude 7490
,Processed,XGX-28472804,EXP00000121,2023-08-11 06:21:00,Assets,Newly procured asset for IT department,Dell Latitude 7490
,Processed,KCD-41642656,EXP00000122,2023-08-24 03:43:00,Services,Automatically generated service line for creation of asset,Web Hosting Service
,Pending,SIH-89438554,EXP00000123,2023-05-01 17:35:00,Services,Automatically created service asset,Cloud Server Instance
,Processed,,EXP00000124,2024-01-17 15:23:00,Travel,Automatically generated asset for travel equipment,Travel Case Large
,Submitted,,EXP00000125,2023-12-24 18:07:00,Travel,Travel equipment asset creation,Portable Travel Wifi Router
,Pending,TAE-87251214,EXP00000126,2023-07-01 11:50:00,Assets,Generated asset for company hardware,Dell Latitude E7470
,Processed,DFE-18824825,EXP00000127,2023-04-23 23:18:00,Services,Automatically generated expense line for creation of Service related asset,Cloud Data centre 120
,Processed,,EXP00000128,2023-03-03 06:53:00,Travel,Automatically generated expense line for purchase of travel equipment,Travel Suitcase
,Processed,HBX-35878665,EXP00000129,2024-02-21 03:54:00,Services,Service related asset generation,ERP Software Service
,Processed,,EXP00000130,2023-08-28 15:19:00,Miscellaneous,Asset associated with miscellaneous items,Conference Room Projector
,Declined,LGB-24839436,EXP00000131,2023-08-12 03:58:00,Assets,Automatic inventory update for asset,Dell Latitude 7400
,Processed,,EXP00000132,2023-03-08 23:50:00,Miscellaneous,Automatically generated item for Miscellaneous assets,Wireless Keyboard KB-500
,Processed,DYL-12512823,EXP00000133,2024-03-13 04:33:00,Assets,Generated list of newly procured assets,DELL Latitude 7420
,Declined,BEH-28439026,EXP00000134,2023-10-16 21:50:00,Assets,Automated record for acquisition of new hardware asset,Dell Inspiron Desktop
,Processed,QUO-73201101,EXP00000135,2023-02-21 11:42:00,Assets,Asset Enrolment - Dell Latitude 5501,Dell Latitude 5501
,Processed,OFW-47973158,EXP00000136,2024-03-26 15:54:00,Assets,Automatically generated asset line for HP Desktop,HP ProDesk 600 G1
,Processed,IBH-80749758,EXP00000137,2024-01-11 04:33:00,Services,Implementation of new networking service,Cisco Networking Service
,Submitted,YST-08863925,EXP00000138,2023-02-08 02:18:00,Services,Automatically generated service line for creation of asset,Office365 Subscription
,Processed,YCL-24391548,EXP00000139,2024-04-21 18:26:00,Services,Provisioning of new cloud service,AWS Managed Service
,Submitted,EOK-87862260,EXP00000140,2024-01-19 06:11:00,Services,Automatically generated service asset,Cloud Service Provider
,Processed,VXJ-79498418,EXP00000141,2023-10-26 05:26:00,Services,Deployment and installation service for new hardware solution,Cisco Meraki MX64 Firewall
,Processed,TRH-60046648,EXP00000142,2024-01-23 16:50:00,Services,Newly incorporated asset for Cloud Services,Microsoft Azure Cloud Service
,Processed,,EXP00000143,2023-07-09 08:08:00,Miscellaneous,Added new asset to Miscellaneous category,Miscellaneous Item 123
,Processed,ESG-01429792,EXP00000144,2023-06-27 09:53:00,Assets,ServiceNow generated asset tracking entry,Dell Inspiron 5502
,Processed,XKZ-43563915,EXP00000145,2024-01-15 14:08:00,Services,Newly Added Service Asset,Web Services Suite 7.0
,Declined,ASI-37440739,EXP00000146,2023-04-28 16:33:00,Services,Provision of Managed IT Services for asset,Managed Service Provider
,Declined,,EXP00000147,2023-09-05 02:43:00,Travel,Travel expenses for acquisition of portable hardware,HP EliteBook 840 G5
,Processed,FMQ-21373949,EXP00000148,2024-01-26 02:30:00,Services,Automatically generated expense line for creation of Services asset,Web Hosting Pro Plan
,Declined,HIV-99840490,EXP00000149,2024-02-11 14:28:00,Services,Automatically created service asset log,Cloud Database Service
,Processed,BYI-55062119,EXP00000150,2024-01-07 15:51:00,Assets,Automatically generated entry for asset addition,Dell Latitude 7400 Laptop
,Processed,,EXP00000151,2023-07-01 09:32:00,Travel,Travel-related hardware asset,GPS Garmin 64s
,Processed,GVS-34713472,EXP00000152,2023-07-24 03:34:00,Services,Automatically generated service line for creation of asset,Cloud Service Provider
,Pending,,EXP00000153,2023-08-31 02:21:00,Miscellaneous,Addition of new miscellaneous asset,Multimedia Projector HW4019
,Submitted,,EXP00000154,2023-09-22 22:08:00,Miscellaneous,Purchased miscellaneous asset for office use,Office Chair Ergonomic Model
,Processed,,EXP00000155,2023-07-07 16:49:00,Travel,Travel related asset generation,Business Travel Luggage
,Processed,ZIC-43134348,EXP00000156,2023-02-25 00:07:00,Assets,Automated asset creation for new equipment,Dell Optiplex 7070
,Pending,XRI-19220221,EXP00000157,2024-04-04 08:56:00,Services,Automatically generated expense line for creation of asset Services,Cloud Service Provider
,Processed,,EXP00000158,2024-03-23 07:52:00,Travel,Travel equipment asset generated,Portable GPS Navigator
,Processed,,EXP00000159,2023-05-28 04:18:00,Travel,Automatically generated expense line for creation of travel asset,Flight ticket
,Processed,HJE-58656315,EXP00000160,2024-04-06 04:47:00,Services,Automated service expense for asset creation,Cloud Hosting Service
,Submitted,,EXP00000161,2023-09-19 06:47:00,Miscellaneous,Asset registration for Miscellaneous item,Logitech Webcam C920
,Processed,FGC-41469064,EXP00000162,2023-03-05 03:58:00,Services,Automatically generated expense line for creation of Services asset,Web Development Service
,Submitted,FHL-43738186,EXP00000163,2024-02-25 15:34:00,Assets,Asset Registration: Dell Latitude E7240,Dell Latitude E7240
,Submitted,,EXP00000164,2024-01-29 03:09:00,Travel,Travel equipment asset,Travel Bag Model XY123
,Declined,OZI-28172279,EXP00000165,2023-04-07 11:47:00,Assets,Addition of new Hardware Asset,Dell Latitude 7490
,Submitted,RNV-71325360,EXP00000166,2024-04-14 22:10:00,Services,Billing process for new cloud services,Google Cloud Platform Service Account
,Processed,,EXP00000167,2023-06-02 10:11:00,Miscellaneous,New addition to Miscellaneous hardware assets,Drone DJI Phantom 4
,Processed,,EXP00000168,2024-02-26 22:48:00,Travel,Travel expenses log for business trips,Company issued travel suitcase
,Processed,RHZ-45695562,EXP00000169,2024-01-11 13:31:00,Services,Provisioning of new Cloud Service,AWS EC2 Instance
,Processed,BRD-51030968,EXP00000170,2023-08-30 04:19:00,Services,Setup of new VPN service for IT department,Cisco VPN Service
,Declined,OEU-38750297,EXP00000171,2024-04-26 17:01:00,Assets,Asset management for asset creation,Dell Latitude 7400
,Processed,JPE-19044705,EXP00000172,2023-11-10 23:08:00,Assets,Asset registration for new hardware,Dell Optiplex 7080
,Submitted,,EXP00000173,2024-03-03 15:04:00,Miscellaneous,New Miscellaneous asset recorded,Miscellaneous_ArtObject_37
,Processed,,EXP00000174,2023-12-21 19:39:00,Travel,Travel essentials package for international trips,Luxury Luggage Set
,Processed,FHI-48118648,EXP00000175,2023-10-12 21:37:00,Assets,Asset registration for new Database Server,Oracle Database Server 19c
,Processed,,EXP00000176,2023-04-27 21:43:00,Miscellaneous,Newly added hardware asset under Miscellaneous category,Logitech Wireless Mouse MX Master
,Declined,HBZ-31547206,EXP00000177,2023-08-05 14:19:00,Services,Auto-generated record for service asset,Web Hosting Service
,Processed,KNG-20149453,EXP00000178,2023-08-17 14:32:00,Services,Services related hardware configuration item,Cloud Server 2.2v
,Processed,BKJ-88379072,EXP00000179,2024-01-03 04:44:00,Assets,Dell Latitude 7490 Infrastructure Asset,Dell Latitude 7490
,Processed,,EXP00000180,2023-04-02 13:27:00,Travel,Automatically generated asset for travel equipment,Samsonite Travel Luggage
,Processed,SSK-16696954,EXP00000181,2023-09-08 21:07:00,Assets,Hardware asset for IT department,Dell Inspiron 15
,Processed,,EXP00000182,2023-02-26 22:00:00,Travel,Travel equipment asset,Samsonite Tech 2.0 Spinner
,Pending,,EXP00000183,2023-03-14 17:59:00,Travel,Automatically generated expense line for Travel category asset,Corporate Travel Kit
,Declined,CTB-80812933,EXP00000184,2023-05-11 08:24:00,Assets,Automatic data recording for new asset,Dell Latitude 7410
,Declined,XNO-58343528,EXP00000185,2023-02-09 22:50:00,Services,Provision of cloud storage service,Microsoft Azure Cloud Storage
,Submitted,RLG-06700972,EXP00000186,2023-08-07 06:04:00,Assets,Check-in of newly acquired hardware asset,Dell Latitude E5470
,Pending,QMD-67629538,EXP00000187,2023-08-21 16:20:00,Assets,IT asset acquisition: HP Pavilion Laptop,HP Pavilion 360
,Processed,YBO-69754046,EXP00000188,2024-04-09 07:23:00,Services,Automatically generated asset for creation of Service,Oracle Database Service 12c
,Pending,,EXP00000189,2023-03-01 05:40:00,Travel,Travel Equipment Acquisition Asset Creation,Dell Latitude 7420 Travel Laptop
,Pending,HZT-05362020,EXP00000190,2023-07-15 06:06:00,Services,Services related hardware asset,Cloud Server Instance - A123
,Processed,,EXP00000191,2024-04-10 16:44:00,Miscellaneous,Miscellaneous asset allocation,HP Pavilion 14
,Processed,YZJ-09109143,EXP00000192,2023-08-09 21:19:00,Assets,Asset purchase for office hardware,HP EliteDesk 800 G5
,Processed,AIS-41210540,EXP00000193,2024-01-12 02:15:00,Services,Implementation of new IT Services,IT Service Management Module
,Processed,,EXP00000194,2023-06-04 18:25:00,Miscellaneous,Automatically generated asset for creation of Miscellaneous,XYZ Miscellaneous Equipment
,Declined,ZBL-38471133,EXP00000195,2024-02-15 05:01:00,Services,Provisioning of new cloud service,AWS Lambda Function
,Submitted,AOM-37337253,EXP00000196,2023-12-16 00:15:00,Assets,Addition of new hardware asset,Dell Precision 7540
,Processed,ZXL-63619342,EXP00000197,2023-08-14 12:34:00,Services,Provision of New User Network Service,Firewall Configuration Asset
,Processed,,EXP00000198,2023-12-11 20:13:00,Travel,Travel related hardware asset creation,Dell Latitude 7400 Travel Laptop
,Declined,NSA-47656274,EXP00000199,2023-11-16 21:17:00,Assets,Addition of new hardware asset into system,Dell Latitude 7490
,Declined,DNX-90698202,EXP00000200,2024-04-05 04:13:00,Services,Purchase of new service-related software,Office365 Business Edition
,Pending,,EXP00000201,2023-10-21 01:20:00,Travel,Automatically generated expense line for creation of travel asset,Airfare Ticket Reference
,Processed,,EXP00000202,2024-04-05 13:18:00,Miscellaneous,Automatically generated record for hardware asset,Miscellaneous Dell Inspiron 3480
,Processed,DNJ-61199286,EXP00000203,2023-07-02 14:58:00,Services,Asset registration for cloud-based hosting services,AWS EC2 Instance
,Processed,LIE-67522764,EXP00000204,2023-06-18 05:36:00,Services,Auto-generated service asset entry,Enterprise Cloud Service 1
,Pending,QPP-48165486,EXP00000205,2023-03-06 04:57:00,Services,Provision of Premium Email Hosting Services,Office365 Suite
,Processed,FSA-50601653,EXP00000206,2024-04-24 12:16:00,Assets,Allocation of new asset for technical team,Dell Latitude 5480
,Processed,MBR-26041311,EXP00000207,2023-11-01 23:32:00,Assets,Automatically tracked Dell Latitude 3500 model under Assets,Dell Latitude 3500
,Processed,,EXP00000208,2024-01-31 10:18:00,Miscellaneous,Automatically generated entry for creation of Miscellaneous asset,Dell OptiPlex 3070
,Processed,XKL-58742794,EXP00000209,2023-07-11 21:22:00,Services,Automatically generated service asset entry,Cloud Resource Management
,Submitted,,EXP00000210,2023-07-01 11:48:00,Miscellaneous,Creation of a new miscellaneous hardware asset,Flash Drive 32GB
,Processed,,EXP00000211,2023-07-24 22:12:00,Travel,Generated expense on travel related hardware asset,Tag Heuer Carrera Travel Clock
,Processed,,EXP00000212,2023-02-23 20:07:00,Travel,Travel equipment asset registration,Travel Case Pro
,Processed,,EXP00000213,2023-08-03 11:49:00,Miscellaneous,Addition of new Miscellaneous hardware asset,Overhead Projector OP-32
,Pending,NFC-19531346,EXP00000214,2023-02-09 02:10:00,Assets,Automated entry: Addition of new asset,Dell Precision Workstation
,Processed,KKP-03952272,EXP00000215,2024-04-21 20:26:00,Assets,Newly purchased hardware asset,Dell Latitude 7400 laptop
,Processed,,EXP00000216,2023-05-17 13:12:00,Miscellaneous,Miscellaneous Hardware Asset,Dell Precision 7550
,Submitted,RZS-48443456,EXP00000217,2024-01-02 11:17:00,Assets,Automatically generated asset entry for hardware acquisition,Dell Latitude E7470
,Processed,ATN-54295555,EXP00000218,2023-12-16 15:23:00,Assets,Asset registration generated for new addition,Dell Latitude 5400
,Submitted,LVV-01323649,EXP00000219,2024-03-03 07:38:00,Services,Automated ServiceNow entry for Service asset,Cloud Service Azure
,Processed,,EXP00000220,2024-02-17 19:49:00,Miscellaneous,Miscellaneous type asset addition,Miscellaneous Equipment 002
,Processed,CES-21219989,EXP00000221,2023-05-02 20:27:00,Services,Service related hardware,Azure Cloud Services
,Processed,SHX-96888829,EXP00000222,2023-12-06 00:37:00,Assets,Newly acquired Dell Latitude laptop for IT department,Dell Latitude 7410
,Declined,UMX-84528004,EXP00000223,2023-08-01 02:29:00,Assets,Automatically generated asset intake record for hardware,Dell Latitude 5411 Laptop
,Processed,FDK-91402701,EXP00000224,2023-09-16 04:22:00,Assets,Dell Inspiron 5502 Laptop Asset Registration,Dell_Inspiron_5502
,Processed,TTC-67964804,EXP00000225,2023-09-12 15:04:00,Services,Service configuration for messaging system,Exchange Server 2016
,Processed,,EXP00000226,2023-12-28 19:19:00,Travel,Travel expense for mission-critical hardware asset,Garmin Drive 52
,Processed,,EXP00000227,2023-07-29 22:58:00,Travel,Asset creation expense line for travel-associated asset,Corporate Travel App
,Processed,AMY-04445840,EXP00000228,2023-08-18 01:12:00,Assets,Automatically created for new hardware acquisition,Dell Optiplex 3070
