sys_updated_by,target_percentage,category,priority,state,metric,owner,percent_complete,sys_id,description,goal_met
admin,62,Cost Reduction,Critical,Completed,Survey Score,user067,90.79305827889888,G000023,"Reduce overall IT spending by optimizing software licensing agreements and reducing redundant technology tools, aiming for a 20% cost savings by Q4.",True
admin,91,Cost Reduction,Medium,Completed,Survey Score,user048,100.0,G000024,Reduce overall IT spending by consolidating vendor contracts and achieving a cost saving of 20% over the next fiscal year.,True
admin,84,Cost Reduction,Critical,In Progress,Survey Score,user014,35.075861711390274,G000025,"Reduce overall software licensing costs by optimizing license allocation and eliminating unnecessary expenditures, targeting a 20% savings amounting to approximately $50K annually.",False
admin,56,Customer Satisfaction,High,In Progress,Expense Ratio,user026,16.0,G000026,Develop a new customer feedback system to increase overall satisfaction ratings by 20% within the next financial quarter.,False
admin,78,Employee Satisfaction,Critical,In Progress,Sales Increase,user080,67.0,G000027,"Increase employee satisfaction ratings by promoting work-life balance, optimizing work environments, and enhancing internal communication effectiveness based on annual survey feedback.",False
admin,73,Cost Reduction,Low,In Progress,Survey Score,user030,58.21303257444529,G000028,Reduce overall IT infrastructure expenditure by 20% through the adoption of cloud-based services and renegotiating vendor contracts.,False
admin,97,Customer Satisfaction,Low,In Progress,Employee Turnover Rate,user075,45.0,G000029,Develop a new customer feedback system to increase satisfaction ratings by 20% over the next fiscal year.,False
admin,73,Efficiency,Medium,In Progress,Expense Ratio,user021,27.0,G000030,"Optimize the IT helpdesk response time by introducing automation in ticket sorting, aiming to enhance operational efficiency by 20% within the next quarter.",False
admin,98,Customer Satisfaction,Low,In Progress,Employee Turnover Rate,user016,100.0,G000031,Develop a new customer feedback system to improve overall satisfaction ratings by 20% in the upcoming fiscal year.,True
admin,54,Cost Reduction,Critical,Completed,Employee Turnover Rate,user078,95.0,G000032,Achieve a 10% reduction in operational expenses by optimizing energy usage and renegotiating supplier contracts within the next fiscal year.,True
admin,80,Customer Satisfaction,High,Completed,Expense Ratio,user031,100.0,G000033,Enhance the customer support portal to improve the satisfaction rating by 20% over the next fiscal year.,True
admin,73,Cost Reduction,Low,Completed,Employee Turnover Rate,user039,100.0,G000034,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% reduction in energy costs over the next fiscal year.",True
admin,83,Cost Reduction,Medium,In Progress,Employee Turnover Rate,user060,28.0,G000035,Achieve a 20% decrease in IT operational expenses by optimizing software licensing and eliminating redundant cloud storage.,False
admin,70,Employee Satisfaction,Low,Completed,Employee Turnover Rate,user064,99.0,G000036,Develop and implement an enhanced employee recognition program aimed at improving overall job satisfaction and reducing annual turnover by 20%.,True
admin,56,Efficiency,Medium,Completed,Employee Turnover Rate,user045,91.42944285668419,G000037,"Optimize IT support workflows to reduce ticket resolution time by 30%, thereby enhancing overall operational efficiency.",True
admin,52,Cost Reduction,Critical,In Progress,Sales Increase,user074,33.51522295627305,G000038,Reduce software licensing costs by 20% through vendor renegotiations and adopting more open-source solutions.,False
admin,76,Revenue Growth,High,Cancelled,Employee Turnover Rate,user007,44.0,G000039,Increase annual software sales revenue by 20% through targeted marketing campaigns and expanding into new geographic markets.,False
admin,83,Cost Reduction,Low,Cancelled,Sales Increase,user036,78.0160673167014,G000040,Reduce overall software licensing expenses by 20% by negotiating multi-year contracts and eliminating underutilized subscriptions.,False
admin,52,Employee Satisfaction,High,In Progress,Survey Score,user091,46.806824562874155,G000041,Develop and launch a quarterly employee satisfaction survey to enhance engagement and reduce turnover by improving workplace policies based on feedback.,False
admin,59,Cost Reduction,Low,In Progress,Survey Score,user017,21.0,G000042,Achieve a 20% reduction in IT operational expenses by optimizing server utilization and negotiating better terms with software vendors.,False
admin,60,Employee Satisfaction,Medium,In Progress,Employee Turnover Rate,user034,40.0,G000043,Develop and implement a comprehensive wellness program to increase employee satisfaction scores by 20% over the next fiscal year.,False
admin,85,Customer Satisfaction,Low,Completed,Sales Increase,user012,100.0,G000044,Increase overall customer satisfaction ratings by enhancing support services and implementing a feedback-based improvement strategy to achieve a 20% improvement in customer survey results.,True
admin,96,Cost Reduction,High,Completed,Sales Increase,user015,100.0,G000045,Reduce IT operational expenses by 20% through consolidation of software licenses and renegotiating vendor contracts.,True
admin,92,Cost Reduction,High,In Progress,Expense Ratio,user069,79.47309208867733,G000046,"Reduce operational expenses by optimizing energy use across all facilities, aiming for a 20% reduction in utility costs over the next fiscal year.",False
admin,73,Revenue Growth,Medium,Cancelled,Survey Score,user080,49.0,G000047,"Increase annual subscription renewals by 20% through targeted customer engagement strategies and upselling new features, aiming to boost overall revenue from $500K to $600K.",False
admin,64,Customer Satisfaction,Critical,Completed,Employee Turnover Rate,user096,94.23241670939206,G000048,Develop a new customer feedback system to enhance satisfaction ratings by 20% in the next fiscal year through improved service response times and personalized support.,True
admin,80,Cost Reduction,Medium,In Progress,Expense Ratio,user059,30.626709925375874,G000049,"Reduce operational expenses by optimizing resources and automating manual processes, aiming to achieve a 20% cost reduction over the next fiscal year.",False
admin,77,Efficiency,High,In Progress,Sales Increase,user083,23.640660410603182,G000050,"Enhance software deployment across the organization to reduce average setup time by 25% next quarter, allowing for faster project initiations.",False
admin,95,Customer Satisfaction,Critical,In Progress,Sales Increase,user032,68.97050444885487,G000051,Develop a new customer feedback system to improve satisfaction scores by over 20% for our support services.,False
admin,91,Cost Reduction,Low,Completed,Sales Increase,user089,100.0,G000052,Implement automated software solutions to decrease operational expenses by 10% over the next fiscal quarter.,True
admin,64,Customer Satisfaction,Medium,In Progress,Sales Increase,user064,54.0,G000053,Develop and deploy a new customer feedback system to increase satisfaction scores by 20% over the next fiscal year.,False
admin,77,Cost Reduction,Critical,In Progress,Employee Turnover Rate,user099,30.354014676464857,G000054,"Reduce operational expenses by optimizing energy usage across all branches, targeting a 20% cost saving by the end of Q4.",False
admin,78,Efficiency,Low,Completed,Expense Ratio,user051,100.0,G000055,"Increase operational efficiency by automating routine data entry tasks, aiming to reduce manual processing time by 30%.",True
admin,56,Customer Satisfaction,Critical,In Progress,Expense Ratio,user035,74.06677207005553,G000056,Develop a new feedback system to improve customer satisfaction ratings by 20% over the next 12 months by capturing real-time service experiences.,True
admin,83,Customer Satisfaction,Medium,Completed,Employee Turnover Rate,user065,100.0,G000057,Develop a new customer feedback system to achieve a 20% improvement in customer satisfaction scores by the end of Q4.,True
admin,76,Cost Reduction,Low,In Progress,Employee Turnover Rate,user038,26.871611245606914,G000058,"Reduce IT operational expenditures by optimizing cloud usage and renegotiating vendor contracts, aiming for a 20% cost saving within the next fiscal year.",False
admin,56,Customer Satisfaction,High,Completed,Survey Score,user068,100.0,G000059,Enhance the customer support portal to improve user experience and increase customer satisfaction ratings by 20% over the next six months.,True
admin,62,Employee Satisfaction,High,In Progress,Survey Score,user075,50.0,G000060,Develop and implement a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing burnout rates by 20%.,False
admin,75,Cost Reduction,High,Completed,Sales Increase,user002,90.62549852103311,G000061,"Reduce operational expenditures by optimizing energy consumption across all company facilities, aiming for a 20% reduction over the next fiscal year.",True
admin,61,Cost Reduction,Low,In Progress,Survey Score,user079,20.0,G000062,Develop strategic supplier partnerships to decrease overall material costs by 20% within the next fiscal year.,False
admin,63,Revenue Growth,Low,Cancelled,Employee Turnover Rate,user014,16.0,G000063,"Expand digital services portfolio to increase client base by 20% within the next fiscal year, aiming to boost revenue by approximately $500K.",False
admin,72,Customer Satisfaction,Low,In Progress,Expense Ratio,user029,36.14674386658811,G000064,Develop a new customer feedback system to improve response rates by 30% and enhance satisfaction scores from 3.5 to 4.5 stars on average.,False
admin,81,Cost Reduction,High,Cancelled,Survey Score,user009,47.288746831136535,G000065,"Reduce operational expenses by optimizing energy usage across all corporate offices, aiming for a 20% decrease in utility bills over the next fiscal year.",False
admin,78,Cost Reduction,High,In Progress,Sales Increase,user081,50.703059490099164,G000066,Reduce operational expenses by consolidating vendor contracts and renegotiating terms to achieve a 20% cost savings within the next fiscal year.,False
admin,91,Employee Satisfaction,Medium,In Progress,Employee Turnover Rate,user015,80.51758918641502,G000067,Launch a quarterly employee feedback survey to identify key areas for improvement in workplace conditions and aim to increase overall employee satisfaction ratings by 20%.,False
admin,59,Cost Reduction,Low,Cancelled,Survey Score,user089,38.22878733095337,G000068,"Reduce software license expenses by consolidating vendors and negotiating better rates, aiming for a 20% cost reduction over the next fiscal year.",False
admin,55,Efficiency,Low,In Progress,Sales Increase,user017,29.12927812802769,G000069,"Enhance customer service response times by adopting an integrated ticketing system, aiming to reduce resolution times by 20%.",False
admin,62,Employee Satisfaction,Low,In Progress,Sales Increase,user060,44.0,G000070,Develop and launch an employee feedback tool by Q2 to increase employee satisfaction scores by 20%.,False
admin,96,Employee Satisfaction,Low,Cancelled,Expense Ratio,user098,35.0,G000071,"Develop and implement a new feedback system aimed at increasing employee involvement in decision making, aimed at enhancing overall job satisfaction by 20% over the next fiscal year.",False
admin,64,Customer Satisfaction,Critical,In Progress,Survey Score,user098,78.2231457629148,G000072,Develop a new customer feedback system to improve response rates and satisfaction scores by 20% over the next 12 months.,True
admin,70,Cost Reduction,Medium,Planned,Survey Score,user090,62.0,G000073,"Optimize utilization of IT assets to decrease operational expenses by 20%, aiming to save around $300K by end of Q4.",False
admin,100,Customer Satisfaction,Low,Planned,Employee Turnover Rate,user004,100.0,G000074,"Enhance the customer support portal to improve resolution times by 20%, aiming for higher satisfaction scores on post-service surveys.",True
admin,81,Cost Reduction,High,In Progress,Expense Ratio,user044,85.56150795257392,G000075,"Reduce software licensing fees by consolidating vendor contracts and eliminating underused or redundant licenses, aiming to lower expenditures by 20% over the next fiscal year.",True
admin,82,Cost Reduction,Low,In Progress,Survey Score,user073,83.19166254960204,G000076,Reduce operational expenses by 10% through improved vendor negotiations and contract management.,True
admin,63,Efficiency,Low,In Progress,Employee Turnover Rate,user011,21.0,G000077,"Optimize workflow automation to increase team productivity by 20%, reducing manual tasks for data entry and report generation.",False
admin,59,Employee Satisfaction,Medium,In Progress,Expense Ratio,user061,5.0,G000078,Develop and implement a quarterly employee engagement program aimed at boosting overall job satisfaction by 20% as measured by annual staff surveys.,False
admin,81,Customer Satisfaction,Critical,Completed,Sales Increase,user090,100.0,G000079,Enhance the customer service interface to improve response times and increase customer satisfaction ratings by 20% over the next fiscal year.,True
admin,76,Revenue Growth,High,In Progress,Survey Score,user045,69.0,G000080,Develop new market segments to increase overall revenue by 20% over the next fiscal year.,False
admin,54,Cost Reduction,Critical,In Progress,Employee Turnover Rate,user072,45.0,G000081,Optimize internal software licenses to achieve a cost reduction of 20% by Q3 by eliminating unused or underused subscriptions.,False
admin,77,Customer Satisfaction,Critical,Completed,Sales Increase,user092,100.0,G000082,Develop a new customer feedback system to achieve a 20% improvement in satisfaction scores by the end of Q4.,True
admin,52,Customer Satisfaction,Critical,In Progress,Expense Ratio,user035,33.54920887279255,G000083,Develop and implement a new customer feedback system to enhance satisfaction scores by 20% over the next fiscal year through improved response rates and resolution efficiency.,False
admin,52,Cost Reduction,Medium,In Progress,Survey Score,user084,39.992768883943256,G000084,"Reduce operational costs by optimizing energy usage across all company facilities, aiming for a 20% reduction in electricity and heating expenses within the next fiscal year.",False
admin,82,Cost Reduction,Low,Cancelled,Sales Increase,user064,51.459589466387186,G000085,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% cost saving within the next fiscal year.",False
admin,56,Cost Reduction,Low,Planned,Employee Turnover Rate,user001,28.60745072383397,G000086,"Reduce overall software licensing fees by negotiating multi-year contracts, aiming for a 20% cost saving over the next 2 years.",False
admin,51,Efficiency,Low,In Progress,Survey Score,user079,49.53968588747696,G000087,Enhance the automation of repetitive tasks to improve overall team efficiency by reducing processing time by 30%.,False
admin,62,Employee Satisfaction,Low,Completed,Expense Ratio,user035,72.0,G000088,Develop and implement staff recognition programs aimed at boosting employee satisfaction scores by over 20% for the upcoming fiscal year.,True
admin,79,Customer Satisfaction,Medium,In Progress,Expense Ratio,user044,67.9224767069397,G000089,Improve response time in customer support queries to enhance satisfaction rates by 20% over the next quarter.,False
admin,100,Efficiency,Critical,In Progress,Expense Ratio,user086,77.52898120809753,G000090,"Optimize IT support workflow to reduce ticket resolution time by 20%, aiming to enhance overall user satisfaction and operational efficiency.",False
admin,71,Cost Reduction,Low,Completed,Sales Increase,user003,100.0,G000091,Reduce overall IT expenditures by consolidating vendor contracts and achieving a 20% cost saving in the next fiscal year.,True
admin,92,Efficiency,High,In Progress,Expense Ratio,user074,83.0,G000092,Optimize IT helpdesk response times by 30% through the implementation of automated ticketing systems and staff training.,False
admin,98,Efficiency,Low,In Progress,Survey Score,user007,10.0,G000093,"Optimize internal workflow to decrease project delivery times by 20%, thereby enhancing overall operational efficiency.",False
admin,93,Customer Satisfaction,High,In Progress,Employee Turnover Rate,user054,72.0,G000094,Develop a new customer feedback system to increase satisfaction scores by 20% within the next fiscal year through enhanced response mechanisms and tailored services.,False
admin,63,Employee Satisfaction,Medium,Completed,Employee Turnover Rate,user027,76.0,G000095,Launch a quarterly employee feedback survey to increase overall employee satisfaction scores by 20% over the next fiscal year.,True
admin,81,Revenue Growth,Critical,Completed,Sales Increase,user096,88.0,G000096,Develop a new customer partnership strategy aimed at increasing revenue streams from digital channels by 20% over the next fiscal year.,True
admin,91,Revenue Growth,Low,Completed,Sales Increase,user002,92.0,G000097,"Develop and launch a new product line by Q4 to increase overall revenue by 20%, targeting emerging markets in Asia and South America.",True
admin,87,Revenue Growth,High,Planned,Employee Turnover Rate,user065,39.0,G000098,Develop and launch a new software product line that is projected to increase company revenue by 20% within the first year.,False
admin,79,Revenue Growth,Critical,In Progress,Employee Turnover Rate,user057,75.0,G000099,Develop and launch a new software product by Q4 to increase annual recurring revenue by 20%.,False
admin,96,Cost Reduction,Low,Cancelled,Survey Score,user071,57.0,G000100,Enhance supplier negotiation strategies to achieve a 20% reduction in overall supply costs by the end of Q4.,False
admin,50,Customer Satisfaction,Critical,Cancelled,Sales Increase,user093,60.63057536524182,G000101,Enhance the customer support portal interface to improve user experience and increase customer satisfaction ratings by at least 20% within the next fiscal year.,True
admin,77,Revenue Growth,Medium,In Progress,Expense Ratio,user063,28.0,G000102,Develop and launch a new product line aimed at increasing annual revenue by 20% by expanding into Latin American markets.,False
admin,75,Employee Satisfaction,Critical,Planned,Survey Score,user093,18.032611955821267,G000103,"Launch a quarterly feedback survey to enhance employee engagement and satisfaction, aiming to improve overall scores by 20% over the next year.",False
admin,98,Employee Satisfaction,High,In Progress,Expense Ratio,user070,74.62783732213002,G000104,Launch a quarterly feedback survey to enhance employee satisfaction and implement at least two major improvements based on the results by the end of the year.,False
admin,75,Cost Reduction,Medium,Completed,Employee Turnover Rate,user041,100.0,G000105,"Reduce overall software licensing expenses by negotiating volume discounts and alternative solutions, aiming for a 20% cost reduction within the next financial year.",True
admin,93,Employee Satisfaction,High,In Progress,Expense Ratio,user044,79.18596035710846,G000106,Develop a quarterly team-building program to improve employee engagement scores by 20% over the next fiscal year.,False
admin,73,Employee Satisfaction,High,Completed,Sales Increase,user093,96.0,G000107,"Develop and launch a series of employee well-being programs to boost job satisfaction and morale, aiming for a 20% increase in employee satisfaction survey scores by Q4.",True
admin,69,Revenue Growth,Low,Cancelled,Sales Increase,user017,57.0,G000108,Increase the annual sales revenue by 20% through enhanced digital marketing strategies and expanding our distribution channels.,False
admin,66,Revenue Growth,Medium,In Progress,Employee Turnover Rate,user016,64.0,G000109,"Expand sales team territory coverage to increase annual sales revenue by 20%, targeting new regional markets.",False
admin,83,Cost Reduction,Critical,In Progress,Survey Score,user096,96.60382347959403,G000110,"Reduce operational expenditures by optimizing energy usage across all facilities, aiming for a 20% cost reduction within the next fiscal year.",True
admin,100,Efficiency,Low,In Progress,Expense Ratio,user039,4.0,G000111,"Enhance software deployment workflows to increase operational efficiency by 20%, reducing average deployment time from 5 hours to 4 hours.",False
admin,82,Cost Reduction,Medium,In Progress,Survey Score,user034,23.49709807495439,G000112,Reduce overall software licensing costs by 20% through renegotiating vendor contracts and eliminating underused software licenses.,False
admin,54,Customer Satisfaction,High,Completed,Employee Turnover Rate,user005,77.0,G000113,Increase the customer satisfaction score by 20% by improving response times and offering more personalized support solutions.,True
admin,64,Employee Satisfaction,Low,In Progress,Employee Turnover Rate,user042,52.0,G000114,Develop and implement a quarterly employee engagement program aimed at improving overall job satisfaction scores by 20%.,False
admin,82,Efficiency,Medium,Cancelled,Employee Turnover Rate,user077,42.0,G000115,"Increase database query efficiency by optimizing existing data indexing, aiming for a 30% reduction in response times for user queries on the customer service platform.",False
admin,89,Cost Reduction,Medium,In Progress,Expense Ratio,user025,74.47508493853503,G000116,"Reduce operational expenses by optimizing software licensing agreements, targeting an annual savings of 20% over last fiscal year.",False
admin,63,Employee Satisfaction,High,Completed,Expense Ratio,user063,83.0,G000117,Develop and implement a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing yearly employee turnover by 20%.,True
admin,62,Revenue Growth,Medium,In Progress,Employee Turnover Rate,user034,26.0,G000118,Develop a new Strategic Client Program to increase overall revenue by 20% in the next fiscal year.,False
admin,98,Revenue Growth,High,In Progress,Employee Turnover Rate,user074,96.0,G000119,Develop new partnerships with leading global retailers to increase annual revenue by 20%.,False
admin,77,Cost Reduction,Critical,In Progress,Survey Score,user023,47.0,G000120,Optimize supplier contracts and renegotiate terms to achieve a 20% reduction in operational expenses over the next fiscal year.,False
admin,78,Revenue Growth,Medium,Completed,Sales Increase,user013,84.0,G000121,Expand sales team to increase revenue from new market sectors targeted for a 20% growth in the next fiscal year.,True
admin,61,Cost Reduction,Critical,In Progress,Employee Turnover Rate,user089,42.25626458640358,G000122,"Reduce the overall IT operational expenses by 20%, aiming to cut down from $500,000 to $400,000 through automation of routine tasks and renegotiation of vendor contracts.",False
admin,58,Customer Satisfaction,High,Completed,Sales Increase,user083,78.49692710127752,G000123,Develop and launch a new customer feedback system by Q2 to improve customer satisfaction scores by at least 20% over the previous year.,True
admin,89,Cost Reduction,Medium,Completed,Sales Increase,user024,100.0,G000124,"Reduce operational expenses by optimizing energy usage across all corporate facilities, aiming to cut energy costs by 20% within the next fiscal year.",True
admin,89,Efficiency,Medium,Completed,Expense Ratio,user046,101.0,G000125,"Enhance the IT support ticket system to decrease average resolution time by 30%, improving overall operational efficiency.",True
admin,59,Cost Reduction,Low,Completed,Survey Score,user018,94.55486865450331,G000126,Reduce overall IT spending by consolidating software licenses and renegotiating vendor contracts to achieve a 20% cost saving in the next fiscal year.,True
admin,55,Revenue Growth,Medium,In Progress,Expense Ratio,user006,31.0,G000127,Develop new regional markets for the flagship product line aiming to boost total revenue by 20% by the end of the fiscal year.,False
admin,92,Cost Reduction,Low,In Progress,Employee Turnover Rate,user008,85.30053158932664,G000128,"Reduce software licensing expenses by consolidating redundant tools, aiming for a 20% cost savings in the next fiscal year.",False
admin,89,Employee Satisfaction,Low,In Progress,Employee Turnover Rate,user078,21.0,G000129,Develop and implement a quarterly team-building program to enhance employee satisfaction scores by 20% over the next fiscal year.,False
admin,94,Revenue Growth,Critical,In Progress,Expense Ratio,user003,84.39281985290117,G000130,Develop new marketing strategies to increase annual revenue by 20% through improved online engagement and customer retention.,False
admin,67,Cost Reduction,Low,Completed,Employee Turnover Rate,user016,100.0,G000131,Reduce software maintenance expenses by renegotiating vendor contracts to achieve a 20% cost saving over the next financial year.,True
admin,67,Cost Reduction,Low,Planned,Sales Increase,user035,57.13294601034742,G000132,"Reduce overhead expenses by optimizing energy usage within all facilities, aiming for a 20% decrease in utility costs over the next fiscal year.",False
admin,81,Efficiency,High,In Progress,Expense Ratio,user083,13.0,G000133,Increase automation of report generation processes to enhance operational efficiency by reducing manual hours by 20%.,False
admin,98,Cost Reduction,Low,Planned,Employee Turnover Rate,user082,32.0,G000134,Initiate a comprehensive review of vendor contracts to achieve a 20% cost reduction in IT expenditure by the end of the fiscal year.,False
admin,57,Customer Satisfaction,Critical,Cancelled,Expense Ratio,user051,68.98486870633695,G000135,Improve customer support response times by 30% by upgrading our CRM software and training staff on efficient customer interaction protocols.,True
admin,75,Revenue Growth,Medium,Completed,Expense Ratio,user067,92.0,G000136,"Enhance our online platform to increase user subscriptions by 20% within the next fiscal year, aiming to boost overall revenue from digital channels.",True
admin,68,Employee Satisfaction,Low,In Progress,Expense Ratio,user006,78.34063482425847,G000137,"Develop a comprehensive training program for middle management to improve leadership skills, aiming to increase employee satisfaction scores by 20% in the upcoming employee survey.",True
admin,63,Revenue Growth,Critical,In Progress,Survey Score,user060,39.0,G000138,"Expand our market presence in Asia by 20%, aiming to increase annual revenue from $2M to $2.4M through strategic partnerships and direct marketing initiatives.",False
admin,95,Cost Reduction,Low,In Progress,Employee Turnover Rate,user077,89.04809869832408,G000139,"Reduce operational expenditures by optimizing logistics routes, aiming to cut transportation costs by 20% over the next fiscal year.",False
admin,66,Revenue Growth,Low,In Progress,Expense Ratio,user058,6.0,G000140,Expand market presence in Asia to increase annual revenue by 20% over the next fiscal year.,False
admin,92,Customer Satisfaction,Medium,In Progress,Employee Turnover Rate,user038,84.0,G000141,"Develop a new customer feedback system aimed at improving response rates by 30%, thereby increasing overall customer satisfaction scores.",False
admin,72,Efficiency,Medium,In Progress,Employee Turnover Rate,user085,74.17492440432194,G000142,"Enhance system automation to reduce manual data entry by 30%, thereby increasing overall process efficiency and reducing potential errors.",True
admin,66,Revenue Growth,Medium,Completed,Sales Increase,user030,93.0,G000143,Develop a new strategic plan for market expansion that aims to increase revenue by 20% through the introduction of two new products over the next fiscal year.,True
admin,93,Cost Reduction,High,In Progress,Expense Ratio,user058,51.0,G000144,Optimize IT infrastructure to achieve at least a 20% reduction in operational costs over the next fiscal year.,False
admin,52,Cost Reduction,Low,In Progress,Sales Increase,user075,14.0,G000145,"Optimize the number of software licenses used within the company to decrease IT operational costs by 20%, aiming for a saving of approximately $50,000 annually.",False
admin,53,Revenue Growth,High,In Progress,Survey Score,user013,17.0,G000146,Expand into three new international markets by Q4 2024 to increase overall revenue by 20%.,False
admin,52,Employee Satisfaction,Critical,Completed,Sales Increase,user008,55.0,G000147,Initiate a quarterly feedback survey to enhance employee satisfaction and increase retention rates by 20%.,True
admin,57,Cost Reduction,Medium,In Progress,Survey Score,user054,62.744078604766216,G000148,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% reduction by Q4.",True
admin,92,Cost Reduction,High,In Progress,Employee Turnover Rate,user085,56.69753950055216,G000149,"Reduce operational expenditure by optimizing resource allocation and automating routine tasks, aiming to lower costs by 20% within the next fiscal year.",False
admin,51,Revenue Growth,Critical,Completed,Expense Ratio,user013,73.0,G000150,Increase annual revenue by 20% through strategic partnerships and enhancing online sales channels.,True
admin,67,Revenue Growth,Medium,In Progress,Survey Score,user077,64.0,G000151,"Expand sales outreach to three new regions, aiming to increase overall revenue by 20% within the next fiscal year.",False
admin,60,Cost Reduction,Low,In Progress,Employee Turnover Rate,user049,35.60054164948873,G000152,"Reduce operational expenses by optimizing energy usage across all corporate facilities, targeting a cost saving of 20% over the next fiscal year.",False
admin,96,Customer Satisfaction,Critical,Planned,Expense Ratio,user067,57.434431930607865,G000153,Enhance the online support portal to improve user experience and increase customer satisfaction ratings by at least 20% over the next 12 months.,False
admin,52,Cost Reduction,Low,In Progress,Expense Ratio,user000,39.152236276961304,G000154,"Reduce software licensing fees by negotiating bulk purchase agreements, aiming for a 20% reduction in IT spending over the next fiscal year.",False
admin,60,Revenue Growth,Medium,Completed,Expense Ratio,user057,87.0,G000155,Develop new customer acquisition strategies aimed at increasing annual revenue by 20% through expanding into untapped markets and optimizing digital marketing campaigns.,True
